,Coach,School_x,Conference_x,W_2013,L_2013,W-L%_2013,AP_Pre_2013,AP_Post_2013,NCAA_Tournament_2013,Since_2013,W_Career_2013,L_Career_2013,W-L%_Career_2013,NCAA_Career_2013,S16_Career_2013,FF_Career_2013,Chmp_Career_2013,W_Overall_2013,L_Overall_2013,W-L%_Overall_2013,NCAA_Overall_2013,S16_Overall_2013,FF_Overall_2013,Chmp_Overall_2013,School_y,Conference_y,W_2014,L_2014,W-L%_2014,AP_Pre_2014,AP_Post_2014,NCAA_Tournament_2014,Since_2014,W_Career_2014,L_Career_2014,W-L%_Career_2014,NCAA_Career_2014,S16_Career_2014,FF_Career_2014,Chmp_Career_2014,W_Overall_2014,L_Overall_2014,W-L%_Overall_2014,NCAA_Overall_2014,S16_Overall_2014,FF_Overall_2014,Chmp_Overall_2014,School_x,Conference_x,W_2015,L_2015,W-L%_2015,AP_Pre_2015,AP_Post_2015,NCAA_Tournament_2015,Since_2015,W_Career_2015,L_Career_2015,W-L%_Career_2015,NCAA_Career_2015,S16_Career_2015,FF_Career_2015,Chmp_Career_2015,W_Overall_2015,L_Overall_2015,W-L%_Overall_2015,NCAA_Overall_2015,S16_Overall_2015,FF_Overall_2015,Chmp_Overall_2015,School_y,Conference_y,W_2016,L_2016,W-L%_2016,AP_Pre_2016,AP_Post_2016,NCAA_Tournament_2016,Since_2016,W_Career_2016,L_Career_2016,W-L%_Career_2016,NCAA_Career_2016,S16_Career_2016,FF_Career_2016,Chmp_Career_2016,W_Overall_2016,L_Overall_2016,W-L%_Overall_2016,NCAA_Overall_2016,S16_Overall_2016,FF_Overall_2016,Chmp_Overall_2016,School,Conference,W_2017,L_2017,W-L%_2017,AP_Pre_2017,AP_Post_2017,NCAA_Tournament_2017,Since_2017,W_Career_2017,L_Career_2017,W-L%_Career_2017,NCAA_Career_2017,S16_Career_2017,FF_Career_2017,Chmp_Career_2017,W_Overall_2017,L_Overall_2017,W-L%_Overall_2017,NCAA_Overall_2017,S16_Overall_2017,FF_Overall_2017,Chmp_Overall_2017,FIRED?,WHEN
137,Cliff Warren,Jacksonville,A-Sun,12,18,0.4,,,,2005-06,126,150,0.457,,,,,126,150,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
138,James Green,Jacksonville State,OVC,10,21,0.323,,,,2008-09,69,111,0.383,,,,,236,273,0.464,1,,,,Jacksonville State,OVC,12,19,0.387,,,,2008-09,81,130,0.384,,,,,248,292,0.459,1,,,,Jacksonville State,OVC,8,23,0.258,,,,2008-09,89,153,0.368,,,,,256,315,0.448,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
139,Matt Brady,James Madison,CAA,11,20,0.355,,,,2008-09,99,102,0.493,1,,,,172,152,0.531,1,,,,James Madison,CAA,19,14,0.576,,,,2008-09,118,116,0.504,1,,,,191,166,0.535,1,,,,James Madison,CAA,21,11,0.656,,,,2008-09,139,127,0.523,1,,,,212,177,0.545,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
140,Bill Self,Kansas,Big 12,25,10,0.714,5,10,Lost Third Round,2003-04,325,69,0.825,11,7,2,1,532,174,0.754,16,10,2,1,Kansas,Big 12,27,9,0.75,5,10,Lost Third Round,2003-04,352,78,0.819,12,7,2,1,559,183,0.753,17,10,2,1,Kansas,Big 12,33,5,0.868,4,1,Lost Regional Final,2003-04,385,83,0.823,13,8,2,1,592,188,0.759,18,11,2,1,Kansas,Big 12,31,5,0.861,3,3,Lost Regional Final,2003-04,416,88,0.825,14,9,2,1,623,193,0.763,19,12,2,1,Kansas,Big 12,31,8,0.795,4,4,Lost National Semifinal,2003-04,447,96,0.823,15,10,3,1,654,201,0.765,20,13,3,1,N,
141,Bruce Weber,Kansas State,Big 12,20,13,0.606,,,Lost Second Round,2012-13,47,21,0.691,2,,,,360,176,0.672,10,3,1,,Kansas State,Big 12,15,17,0.469,,,,2012-13,62,38,0.62,2,,,,375,193,0.66,10,3,1,,Kansas State,Big 12,17,16,0.515,,,,2012-13,79,54,0.594,2,,,,392,209,0.652,10,3,1,,Kansas State,Big 12,21,14,0.6,,,Lost First Round,2012-13,100,68,0.595,3,,,,413,223,0.649,11,3,1,,Kansas State,Big 12,25,12,0.676,,,Lost Regional Final,2012-13,125,80,0.61,4,1,,,438,235,0.651,12,4,1,,N,
142,Lewis Preston,Kennesaw State,A-Sun,6,25,0.194,,,,2011-12,12,80,0.13,,,,,12,80,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
143,Rob Senderoff,Kent State,MAC,16,16,0.5,,,,2011-12,58,42,0.58,,,,,58,42,0.58,,,,,Kent State,MAC,23,12,0.657,,,,2011-12,81,54,0.6,,,,,81,54,0.6,,,,,Kent State,MAC,19,13,0.594,,,,2011-12,100,67,0.599,,,,,100,67,0.599,,,,,Kent State,MAC,22,14,0.611,,,Lost First Round,2011-12,122,81,0.601,1,,,,122,81,0.601,1,,,,Kent State,MAC,17,17,0.5,,,,2011-12,139,98,0.586,1,,,,139,98,0.586,1,,,,N,
144,John Calipari*,Kentucky,SEC,29,11,0.725,1,,Lost National Final,2009-10,152,37,0.804,4,4,3,1,597,177,0.771,15,11,5,1,Kentucky,SEC,38,1,0.974,1,1,Lost National Semifinal,2009-10,190,38,0.833,5,5,4,1,635,178,0.781,16,12,6,1,Kentucky,SEC,27,9,0.75,2,10,Lost Second Round,2009-10,217,47,0.822,6,5,4,1,662,187,0.78,17,12,6,1,Kentucky,SEC,32,6,0.842,2,5,Lost Regional Final,2009-10,249,53,0.825,7,6,4,1,694,193,0.782,18,13,6,1,Kentucky,SEC,26,11,0.703,5,18,Lost Regional Semifinal,2009-10,275,64,0.811,8,7,4,1,720,204,0.779,19,14,6,1,N,
145,John Giannini,La Salle,A-10,15,16,0.484,,,,2004-05,158,154,0.506,1,1,,,283,265,0.516,1,1,,,La Salle,A-10,17,16,0.515,,,,2004-05,175,170,0.507,1,1,,,300,281,0.516,1,1,,,La Salle,A-10,9,22,0.29,,,,2004-05,184,192,0.489,1,1,,,309,303,0.505,1,1,,,La Salle,A-10,15,15,0.5,,,,2004-05,199,207,0.49,1,1,,,324,318,0.505,1,1,,,La Salle,A-10,13,19,0.406,,,,2004-05,212,226,0.484,1,1,,,337,337,0.5,1,1,,,N,
146,Fran O'Hanlon,Lafayette,Patriot,11,20,0.355,,,,1995-96,268,296,0.475,2,,,,268,296,0.475,2,,,,Lafayette,Patriot,20,13,0.606,,,Lost Second Round,1995-96,288,309,0.482,3,,,,288,309,0.482,3,,,,Lafayette,Patriot,6,24,0.2,,,,1995-96,294,333,0.469,3,,,,294,333,0.469,3,,,,Lafayette,Patriot,9,21,0.3,,,,1995-96,303,354,0.461,3,,,,303,354,0.461,3,,,,Lafayette,Patriot,10,21,0.323,,,,1995-96,313,375,0.455,3,,,,313,375,0.455,3,,,,N,
147,Pat Knight,Lamar,Southland,3,22,0.12,,,,2011-12,29,62,0.319,1,,,,79,123,0.391,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
148,Tic Price,Lamar,Southland,1,4,0.2,,,,2013-14,1,4,0.2,,,,,168,126,0.571,2,,,,Lamar,Southland,15,15,0.5,,,,2013-14,16,19,0.457,,,,,183,141,0.565,2,,,,Lamar,Southland,11,19,0.367,,,,2013-14,27,38,0.415,,,,,194,160,0.548,2,,,,Lamar,Southland,19,15,0.559,,,,2013-14,46,53,0.465,,,,,213,175,0.549,2,,,,Lamar,Southland,19,14,0.576,,,,2013-14,65,67,0.492,,,,,232,189,0.551,2,,,,N,
149,Brett Reed,Lehigh,Patriot,14,18,0.438,,,,2007-08,129,91,0.586,2,,,,129,91,0.586,2,,,,Lehigh,Patriot,16,14,0.533,,,,2007-08,145,105,0.58,2,,,,145,105,0.58,2,,,,Lehigh,Patriot,17,15,0.531,,,,2007-08,162,120,0.574,2,,,,162,120,0.574,2,,,,Lehigh,Patriot,20,12,0.625,,,,2007-08,182,132,0.58,2,,,,182,132,0.58,2,,,,Lehigh,Patriot,16,14,0.533,,,,2007-08,198,146,0.576,2,,,,198,146,0.576,2,,,,N,
150,Dale Layer,Liberty,Big South,11,21,0.344,,,,2009-10,74,89,0.454,1,,,,177,195,0.476,2,,,,Liberty,Big South,8,24,0.25,,,,2009-10,82,113,0.421,1,,,,185,219,0.458,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2015
151,Casey Alexander,Lipscomb,A-Sun,15,15,0.5,,,,2013-14,15,15,0.5,,,,,39,51,0.433,,,,,Lipscomb,A-Sun,14,17,0.452,,,,2013-14,29,32,0.475,,,,,53,68,0.438,,,,,Lipscomb,A-Sun,12,21,0.364,,,,2013-14,41,53,0.436,,,,,65,89,0.422,,,,,Lipscomb,A-Sun,20,13,0.606,,,,2013-14,61,66,0.48,,,,,85,102,0.455,,,,,Lipscomb,A-Sun,23,10,0.697,,,Lost First Round,2013-14,84,76,0.525,1,,,,108,112,0.491,1,,,,N,
152,Dan Monson,Long Beach State,Big West,15,17,0.469,,,,2007-08,119,108,0.524,1,,,,289,231,0.556,3,1,,,Long Beach State,Big West,16,17,0.485,,,,2007-08,135,125,0.519,1,,,,305,248,0.552,3,1,,,Long Beach State,Big West,20,15,0.571,,,,2007-08,155,140,0.525,1,,,,325,263,0.553,3,1,,,Long Beach State,Big West,15,19,0.441,,,,2007-08,170,159,0.517,1,,,,340,282,0.547,3,1,,,Long Beach State,Big West,15,18,0.455,,,,2007-08,185,177,0.511,1,,,,355,300,0.542,3,1,,,N,
153,Jack Perri,LIU-Brooklyn,NEC,9,20,0.31,,,,2012-13,29,34,0.46,1,,,,29,34,0.46,1,,,,LIU-Brooklyn,NEC,12,18,0.4,,,,2012-13,41,52,0.441,1,,,,41,52,0.441,1,,,,LIU-Brooklyn,NEC,16,15,0.516,,,,2012-13,57,67,0.46,1,,,,57,67,0.46,1,,,,LIU-Brooklyn,NEC,20,12,0.625,,,,2012-13,77,79,0.494,1,,,,77,79,0.494,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2017
154,Jayson Gee,Longwood,Big South,8,24,0.25,,,,2013-14,8,24,0.25,,,,,8,24,0.25,,,,,Longwood,Big South,11,23,0.324,,,,2013-14,19,47,0.288,,,,,19,47,0.288,,,,,Longwood,Big South,10,23,0.303,,,,2013-14,29,70,0.293,,,,,29,70,0.293,,,,,Longwood,Big South,6,24,0.2,,,,2013-14,35,94,0.271,,,,,35,94,0.271,,,,,Longwood,Big South,7,26,0.212,,,,2013-14,42,120,0.259,,,,,42,120,0.259,,,,,N,
155,Bob Marlin,Louisiana,Sun Belt,23,12,0.657,,,Lost Second Round,2010-11,66,63,0.512,1,,,,291,194,0.6,3,,,,Louisiana,Sun Belt,22,14,0.611,,,,2010-11,88,77,0.533,1,,,,313,208,0.601,3,,,,Louisiana,Sun Belt,19,15,0.559,,,,2010-11,107,92,0.538,1,,,,332,223,0.598,3,,,,Louisiana,Sun Belt,21,12,0.636,,,,2010-11,128,104,0.552,1,,,,353,235,0.6,3,,,,Louisiana,Sun Belt,27,7,0.794,,,,2010-11,155,111,0.583,1,,,,380,242,0.611,3,,,,N,
156,Keith Richard,Louisiana-Monroe,Sun Belt,10,17,0.37,,,,2010-11,24,90,0.211,,,,,174,207,0.457,,,,,Louisiana-Monroe,Sun Belt,24,14,0.632,,,,2010-11,48,104,0.316,,,,,198,221,0.473,,,,,Louisiana-Monroe,Sun Belt,20,14,0.588,,,,2010-11,68,118,0.366,,,,,218,235,0.481,,,,,Louisiana-Monroe,Sun Belt,9,24,0.273,,,,2010-11,77,142,0.352,,,,,227,259,0.467,,,,,Louisiana-Monroe,Sun Belt,16,16,0.5,,,,2010-11,93,158,0.371,,,,,243,275,0.469,,,,,N,
157,Johnny Jones,LSU,SEC,20,14,0.588,,,,2012-13,39,26,0.6,,,,,244,188,0.565,2,,,,LSU,SEC,22,11,0.667,,,Lost Second Round,2012-13,61,37,0.622,1,,,,266,199,0.572,3,,,,LSU,SEC,19,14,0.576,21,,,2012-13,80,51,0.611,1,,,,285,213,0.572,3,,,,LSU,SEC,10,21,0.323,,,,2012-13,90,72,0.556,1,,,,295,234,0.558,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2017
158,Michael White,Louisiana Tech,CUSA,29,8,0.784,,,,2011-12,74,31,0.705,,,,,74,31,0.705,,,,,Louisiana Tech,CUSA,27,9,0.75,,,,2011-12,101,40,0.716,,,,,101,40,0.716,,,,,Florida,SEC,21,15,0.583,,,,2015-16,21,15,0.583,,,,,122,55,0.689,,,,,Florida,SEC,27,9,0.75,,20,Lost Regional Final,2015-16,48,24,0.667,1,1,,,149,64,0.7,1,1,,,Florida,SEC,21,13,0.618,8,23,Lost Second Round,2015-16,69,37,0.651,2,1,,,170,77,0.688,2,1,,,N,
159,Rick Pitino*,Louisville,AAC,31,6,0.838,3,5,Lost Regional Semifinal,2001-02,341,117,0.745,11,6,3,1,695,245,0.739,19,12,7,2,Louisville,ACC,27,9,0.75,8,17,Lost Regional Final,2001-02,368,126,0.745,12,7,3,1,722,254,0.74,20,13,7,2,Louisville,ACC,23,8,0.742,,16,,2001-02,391,134,0.745,12,7,3,1,745,262,0.74,20,13,7,2,Louisville,ACC,25,9,0.735,13,10,Lost Second Round,2001-02,416,143,0.744,13,7,3,1,770,271,0.74,21,13,7,2,,,,,,,,,,,,,,,,,,,,,,,,N,
160,Porter Moser,Loyola (IL),MVC,10,22,0.312,,,,2011-12,32,61,0.344,,,,,137,162,0.458,,,,,Loyola (IL),MVC,24,13,0.649,,,,2011-12,56,74,0.431,,,,,161,175,0.479,,,,,Loyola (IL),MVC,15,17,0.469,,,,2011-12,71,91,0.438,,,,,176,192,0.478,,,,,Loyola (IL),MVC,18,14,0.562,,,,2011-12,89,105,0.459,,,,,194,206,0.485,,,,,Loyola (IL),MVC,32,6,0.842,,,Lost National Semifinal,2011-12,121,111,0.522,1,1,1,,226,212,0.516,1,1,1,,N,
161,Max Good,Loyola Marymount,WCC,13,19,0.406,,,,2008-09,77,117,0.397,,,,,186,255,0.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
162,G.G. Smith,Loyola (MD),Patriot,11,19,0.367,,,,2013-14,11,19,0.367,,,,,11,19,0.367,,,,,Loyola (MD),Patriot,11,19,0.367,,,,2013-14,22,38,0.367,,,,,22,38,0.367,,,,,Loyola (MD),Patriot,9,21,0.3,,,,2013-14,31,59,0.344,,,,,31,59,0.344,,,,,Loyola (MD),Patriot,16,17,0.485,,,,2013-14,47,76,0.382,,,,,47,76,0.382,,,,,Loyola (MD),Patriot,9,22,0.29,,,,2013-14,56,98,0.364,,,,,56,98,0.364,,,,,N,
163,Ted Woodward,Maine,AEC,6,23,0.207,,,,2004-05,117,178,0.397,,,,,117,178,0.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
164,Steve Masiello,Manhattan,MAAC,25,8,0.758,,,Lost Second Round,2011-12,60,39,0.606,1,,,,60,39,0.606,1,,,,Manhattan,MAAC,19,14,0.576,,,,2011-12,79,53,0.598,2,,,,79,53,0.598,2,,,,Manhattan,MAAC,13,18,0.419,,,,2011-12,92,71,0.564,2,,,,92,71,0.564,2,,,,Manhattan,MAAC,10,22,0.312,,,,2011-12,102,93,0.523,2,,,,102,93,0.523,2,,,,Manhattan,MAAC,14,17,0.452,,,,2011-12,116,110,0.513,2,,,,116,110,0.513,2,,,,N,
165,Jeff Bower,Marist,MAAC,12,19,0.387,,,,2013-14,12,19,0.387,,,,,12,19,0.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
166,Buzz Williams,Marquette,Big East,17,15,0.531,17,,,2008-09,139,69,0.668,5,3,,,153,86,0.64,5,3,,,Virginia Tech,ACC,11,22,0.333,,,,2014-15,11,22,0.333,,,,,164,108,0.603,5,3,,,Virginia Tech,ACC,20,15,0.571,,,,2014-15,31,37,0.456,,,,,184,123,0.599,5,3,,,Virginia Tech,ACC,22,11,0.667,,,Lost First Round,2014-15,53,48,0.525,1,,,,206,134,0.606,6,3,,,Virginia Tech,ACC,21,12,0.636,,,Lost First Round,2014-15,74,60,0.552,2,,,,227,146,0.609,7,3,,,N,
167,Tom Herrion,Marshall,CUSA,11,22,0.333,,,,2010-11,67,67,0.5,,,,,147,105,0.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
168,Mark Turgeon,Maryland,ACC,17,15,0.531,,,,2011-12,59,43,0.578,,,,,309,202,0.605,5,1,,,Maryland,Big Ten,28,7,0.8,,12,Lost Third Round,2011-12,87,50,0.635,1,,,,337,209,0.617,6,1,,,Maryland,Big Ten,27,9,0.75,3,18,Lost Regional Semifinal,2011-12,114,59,0.659,2,1,,,364,218,0.625,7,2,,,Maryland,Big Ten,24,9,0.727,25,,Lost First Round,2011-12,138,68,0.67,3,1,,,388,227,0.631,8,2,,,Maryland,Big Ten,19,13,0.594,,,,2011-12,157,81,0.66,3,1,,,407,240,0.629,8,2,,,N,
169,Aki Thomas,UMBC,AEC,9,21,0.3,,,,2012-13,17,44,0.279,,,,,17,44,0.279,,,,,UMBC,AEC,4,26,0.133,,,,2012-13,21,70,0.231,,,,,21,70,0.231,,,,,UMBC,AEC,7,25,0.219,,,,2012-13,28,95,0.228,,,,,28,95,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
170,Frankie Allen,Maryland-Eastern Shore,MEAC,6,24,0.2,,,,2008-09,42,139,0.232,,,,,265,433,0.38,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
171,Derek Kellogg,UMass,A-10,24,9,0.727,,,Lost Second Round,2008-09,109,86,0.559,1,,,,109,86,0.559,1,,,,UMass,A-10,17,15,0.531,,,,2008-09,126,101,0.555,1,,,,126,101,0.555,1,,,,UMass,A-10,14,18,0.438,,,,2008-09,140,119,0.541,1,,,,140,119,0.541,1,,,,UMass,A-10,15,18,0.455,,,,2008-09,155,137,0.531,1,,,,155,137,0.531,1,,,,LIU-Brooklyn,NEC,18,17,0.514,,,,2017-18,18,17,0.514,1,,,,173,154,0.529,2,,,,Y,2017
172,Pat Duquette,UMass-Lowell,AEC,10,18,0.357,,,,2013-14,10,18,0.357,,,,,10,18,0.357,,,,,UMass-Lowell,AEC,12,17,0.414,,,,2013-14,22,35,0.386,,,,,22,35,0.386,,,,,UMass-Lowell,AEC,11,18,0.379,,,,2013-14,33,53,0.384,,,,,33,53,0.384,,,,,UMass-Lowell,AEC,11,20,0.355,,,,2013-14,44,73,0.376,,,,,44,73,0.376,,,,,UMass-Lowell,AEC,12,18,0.4,,,,2013-14,56,91,0.381,,,,,56,91,0.381,,,,,N,
173,Dave Simmons,McNeese State,Southland,11,20,0.355,,,,2006-07,112,136,0.452,,,,,112,136,0.452,,,,,McNeese State,Southland,15,16,0.484,,,,2006-07,127,152,0.455,,,,,127,152,0.455,,,,,McNeese State,Southland,9,20,0.31,,,,2006-07,136,172,0.442,,,,,136,172,0.442,,,,,McNeese State,Southland,7,22,0.241,,,,2006-07,143,194,0.424,,,,,143,194,0.424,,,,,McNeese State,Southland,12,17,0.414,,,,2006-07,155,211,0.423,,,,,155,211,0.423,,,,,N,
174,Josh Pastner,Memphis,AAC,24,10,0.706,13,,Lost Third Round,2009-10,130,44,0.747,4,,,,130,44,0.747,4,,,,Memphis,AAC,18,14,0.562,,,,2009-10,148,58,0.718,4,,,,148,58,0.718,4,,,,Memphis,AAC,19,15,0.559,,,,2009-10,167,73,0.696,4,,,,167,73,0.696,4,,,,Georgia Tech,ACC,21,16,0.568,,,,2016-17,21,16,0.568,,,,,188,89,0.679,4,,,,Georgia Tech,ACC,13,19,0.406,,,,2016-17,34,35,0.493,,,,,201,108,0.65,4,,,,N,
175,Bob Hoffman,Mercer,A-Sun,27,9,0.75,,,Lost Third Round,2008-09,126,82,0.606,1,,,,194,159,0.55,1,,,,Mercer,Southern,19,16,0.543,,,,2008-09,145,98,0.597,1,,,,213,175,0.549,1,,,,Mercer,Southern,19,15,0.559,,,,2008-09,164,113,0.592,1,,,,232,190,0.55,1,,,,Mercer,Southern,15,17,0.469,,,,2008-09,179,130,0.579,1,,,,247,207,0.544,1,,,,Mercer,Southern,19,15,0.559,,,,2008-09,198,145,0.577,1,,,,266,222,0.545,1,,,,N,
176,Jim Larranaga,Miami (FL),ACC,17,16,0.515,,,,2011-12,66,36,0.647,1,1,,,508,345,0.596,6,2,1,,Miami (FL),ACC,25,13,0.658,,,,2011-12,91,49,0.65,1,1,,,533,358,0.598,6,2,1,,Miami (FL),ACC,27,8,0.771,,10,Lost Regional Semifinal,2011-12,118,57,0.674,2,2,,,560,366,0.605,7,3,1,,Miami (FL),ACC,21,12,0.636,,,Lost First Round,2011-12,139,69,0.668,3,2,,,581,378,0.606,8,3,1,,Miami (FL),ACC,22,10,0.688,13,22,Lost First Round,2011-12,161,79,0.671,4,2,,,603,388,0.608,9,3,1,,N,
177,John Cooper,Miami (OH),MAC,13,18,0.419,,,,2012-13,22,40,0.355,,,,,65,92,0.414,,,,,Miami (OH),MAC,13,19,0.406,,,,2012-13,35,59,0.372,,,,,78,111,0.413,,,,,Miami (OH),MAC,13,20,0.394,,,,2012-13,48,79,0.378,,,,,91,131,0.41,,,,,Miami (OH),MAC,11,21,0.344,,,,2012-13,59,100,0.371,,,,,102,152,0.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2017
178,John Beilein,Michigan,Big Ten,28,9,0.757,7,7,Lost Regional Final,2007-08,150,94,0.615,5,2,1,,443,269,0.622,9,4,1,,Michigan,Big Ten,16,16,0.5,24,,,2007-08,166,110,0.601,5,2,1,,459,285,0.617,9,4,1,,Michigan,Big Ten,23,13,0.639,25,,Lost First Round,2007-08,189,123,0.606,6,2,1,,482,298,0.618,10,4,1,,Michigan,Big Ten,26,12,0.684,,23,Lost Regional Semifinal,2007-08,215,135,0.614,7,3,1,,508,310,0.621,11,5,1,,Michigan,Big Ten,33,8,0.805,,7,Lost National Final,2007-08,248,143,0.634,8,4,2,,541,318,0.63,12,6,2,,N,
179,Tom Izzo,Michigan State,Big Ten,29,9,0.763,2,11,Lost Regional Final,1995-96,468,187,0.715,17,12,6,1,468,187,0.715,17,12,6,1,Michigan State,Big Ten,27,12,0.692,18,23,Lost National Semifinal,1995-96,495,199,0.713,18,13,7,1,495,199,0.713,18,13,7,1,Michigan State,Big Ten,29,6,0.829,13,2,Lost First Round,1995-96,524,205,0.719,19,13,7,1,524,205,0.719,19,13,7,1,Michigan State,Big Ten,20,15,0.571,12,,Lost Second Round,1995-96,544,220,0.712,20,13,7,1,544,220,0.712,20,13,7,1,Michigan State,Big Ten,30,5,0.857,2,5,Lost Second Round,1995-96,574,225,0.718,21,13,7,1,574,225,0.718,21,13,7,1,N,
180,Kermit Davis,Middle Tennessee,CUSA,24,9,0.727,,,,2002-03,232,148,0.611,1,,,,303,198,0.605,3,,,,Middle Tennessee,CUSA,19,17,0.528,,,,2002-03,251,165,0.603,1,,,,322,215,0.6,3,,,,Middle Tennessee,CUSA,25,10,0.714,,,Lost Second Round,2002-03,276,175,0.612,2,,,,347,225,0.607,4,,,,Middle Tennessee,CUSA,31,5,0.861,,,Lost Second Round,2002-03,307,180,0.63,3,,,,378,230,0.622,5,,,,Middle Tennessee,CUSA,25,8,0.758,,,,2002-03,332,188,0.638,3,,,,403,238,0.629,5,,,,N,
181,Rob Jeter,Milwaukee,Horizon,21,14,0.6,,,Lost Second Round,2005-06,150,141,0.515,2,,,,150,141,0.515,2,,,,Milwaukee,Horizon,14,16,0.467,,,,2005-06,164,157,0.511,2,,,,164,157,0.511,2,,,,Milwaukee,Horizon,20,13,0.606,,,,2005-06,184,170,0.52,2,,,,184,170,0.52,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
182,Richard Pitino,Minnesota,Big Ten,25,13,0.658,,,,2013-14,25,13,0.658,,,,,43,27,0.614,,,,,Minnesota,Big Ten,18,15,0.545,,,,2013-14,43,28,0.606,,,,,61,42,0.592,,,,,Minnesota,Big Ten,8,23,0.258,,,,2013-14,51,51,0.5,,,,,69,65,0.515,,,,,Minnesota,Big Ten,24,10,0.706,,,Lost First Round,2013-14,75,61,0.551,1,,,,93,75,0.554,1,,,,Minnesota,Big Ten,15,17,0.469,15,,,2013-14,90,78,0.536,1,,,,108,92,0.54,1,,,,N,
183,Andy Kennedy,Ole Miss,SEC,19,14,0.576,,,,2006-07,171,101,0.629,1,,,,192,114,0.627,1,,,,Ole Miss,SEC,21,13,0.618,,,Lost Second Round,2006-07,192,114,0.627,2,,,,213,127,0.626,2,,,,Ole Miss,SEC,20,12,0.625,,,,2006-07,212,126,0.627,2,,,,233,139,0.626,2,,,,Ole Miss,SEC,22,14,0.611,,,,2006-07,234,140,0.626,2,,,,255,153,0.625,2,,,,Ole Miss,SEC,11,16,0.407,,,,2006-07,245,156,0.611,2,,,,266,169,0.611,2,,,,N,
184,Rick Ray,Mississippi State,SEC,14,19,0.424,,,,2012-13,24,41,0.369,,,,,24,41,0.369,,,,,Mississippi State,SEC,13,19,0.406,,,,2012-13,37,60,0.381,,,,,37,60,0.381,,,,,Southeast Missouri State,OVC,5,24,0.172,,,,2015-16,5,24,0.172,,,,,42,84,0.333,,,,,Southeast Missouri State,OVC,15,18,0.455,,,,2015-16,20,42,0.323,,,,,57,102,0.358,,,,,Southeast Missouri State,OVC,14,17,0.452,,,,2015-16,34,59,0.366,,,,,71,119,0.374,,,,,Y,2015
185,Chico Potts,Mississippi Valley State,SWAC,9,23,0.281,,,,2012-13,14,46,0.233,,,,,14,46,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
186,Frank Haith,Missouri,SEC,23,12,0.657,,,,2011-12,76,28,0.731,2,,,,205,129,0.614,3,,,,Tulsa,AAC,23,11,0.676,,,,2014-15,23,11,0.676,,,,,228,140,0.62,3,,,,Tulsa,AAC,20,12,0.625,,,,2014-15,43,23,0.652,1,,,,248,152,0.62,4,,,,Tulsa,AAC,15,17,0.469,,,,2014-15,58,40,0.592,1,,,,263,169,0.609,4,,,,Tulsa,AAC,19,12,0.613,,,,2014-15,77,52,0.597,1,,,,282,181,0.609,4,,,,N,
